Filename,Predicted phases,Confidence
AlN/DS20251029/DC1.jip,[],[]
AlN/DS20251029/DC1.txt,['AlN_216'],[np.float64(67.5)]
AlN/DS20251029/DC2.jip,[],[]
AlN/DS20251029/DC2.txt,['AlN_216'],[np.float64(69.0)]
AlN/DS20251029/RF1.jip,[],[]
AlN/DS20251029/RF1.txt,['AlN_216'],[np.float64(67.0)]
AlN/DS20251029/RF2.jip,[],[]
AlN/DS20251029/RF2.txt,['AlN_216'],[np.float64(65.0)]
AlN/DS20251031/DC1.txt,['AlN_216'],[np.float64(68.0)]
AlN/DS20251031/DC2.txt,['AlN_216'],[np.float64(68.5)]
AlN/DS20251031/RF1.txt,['AlN_216'],[np.float64(63.5)]
AlN/DS20251031/RF2.txt,['AlN_216'],[np.float64(68.5)]
AlN/DS20251110/1.txt,['AlN_216'],[np.float64(92.5)]
AlN/DS20251110/10.txt,['AlN_216'],[np.float64(68.0)]
AlN/DS20251110/2.txt,['AlN_216'],[np.float64(95.5)]
AlN/DS20251110/3.txt,['AlN_216'],[np.float64(95.5)]
AlN/DS20251110/4.txt,['AlN_216'],[np.float64(95.5)]
AlN/DS20251110/6.txt,['AlN_216'],[np.float64(69.0)]
AlN/DS20251110/7.txt,['AlN_216'],[np.float64(61.0)]
AlN/DS20251110/8.txt,['AlN_216'],[np.float64(74.0)]
AlN/DS20251110/9.txt,['AlN_216'],[np.float64(67.0)]
AlN/DS20251117/DC1.txt,['AlN_216'],[np.float64(65.0)]
AlN/DS20251117/DC2.txt,['AlN_216'],[np.float64(66.0)]
AlN/DS20251117/DC3.txt,['AlN_216'],[np.float64(64.0)]
AlN/DS20251117/DC4.txt,['AlN_216'],[np.float64(68.5)]
AlN/DS20251117/DC5.txt,['AlN_216'],[np.float64(70.5)]
AlN/DS20251117/RF1.txt,['AlN_216'],[np.float64(68.0)]
AlN/DS20251117/RF2.txt,['AlN_216'],[np.float64(64.0)]
AlN/DS20251117/RF3.txt,['AlN_216'],[np.float64(62.0)]
AlN/DS20251117/RF4.txt,['AlN_216'],[np.float64(62.5)]
AlN/DS20251117/RF5.txt,['AlN_216'],[np.float64(62.5)]
AlN/XRD图.png,[],[]
CrSiTe体系的xrd数据/AgCr2Te4-J113-2.txt,['CrSiTe3_148'],[np.float64(72.5)]
CrSiTe体系的xrd数据/BiSiTe3-1.txt,"['AlN_216', 'SiBiTe3_148']","[np.float64(50.0), np.float64(42.5)]"
CrSiTe体系的xrd数据/BiSiTe3-2.txt,['SiBiTe3_148'],[np.float64(41.5)]
CrSiTe体系的xrd数据/BiSiTe3-3.txt,['AlN_216'],[np.float64(44.5)]
CrSiTe体系的xrd数据/BiSiTe3-4.txt,['SiBiTe3_148'],[np.float64(46.0)]
CrSiTe体系的xrd数据/BiSiTe3-5.txt,['SiBiTe3_148'],[np.float64(41.0)]
CrSiTe体系的xrd数据/BiSiTe3-6.txt,[],[]
CrSiTe体系的xrd数据/BiSiTe3-7.txt,['SiBiTe3_148'],[np.float64(49.0)]
CrSiTe体系的xrd数据/BiSiTe3-8.txt,"['AlN_216', 'SiBiTe3_148']","[np.float64(44.5), np.float64(43.5)]"
CrSiTe体系的xrd数据/Cr5Te8-powder.txt,['CrSiTe3_148'],[np.float64(88.5)]
CrSiTe体系的xrd数据/CrAlTe-1.txt,['CrSiTe3_148'],[np.float64(59.0)]
CrSiTe体系的xrd数据/CrAlTe-2.txt,['AlN_216'],[np.float64(41.0)]
CrSiTe体系的xrd数据/CrAlTe-3.txt,['AlN_216'],[np.float64(53.5)]
CrSiTe体系的xrd数据/CrSiTe3  PURE FZ40.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3 B027.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3 B028.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3 pure B025-2.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3 pure B025-3.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3 pure B025.txt,['SiBiTe3_148'],[np.float64(52.0)]
CrSiTe体系的xrd数据/CrSiTe3_1.txt,['SiBiTe3_148'],[np.float64(56.0)]
CrSiTe体系的xrd数据/CrSiTe3_180_10_70_0.01_txt.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3_2.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3_300_10_80_0.01.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3_360_10_70_0.01_txt.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3_back_10_70_0.01_Pr_1.txt,[],[]
CrSiTe体系的xrd数据/CrSiTe3_rotation_0.01_10_80_0.01.txt,[],[]
CrSiTe体系的xrd数据/CrTe2_JBX_J197_CT.txt,['CrSiTe3_148'],[np.float64(84.5)]
CrSiTe体系的xrd数据/Si2Te3.txt,['SiBiTe3_148'],[np.float64(74.5)]
FeS_5_90_0.01_J05-右/A-1_NbSe2-mental-2.gk,['AlN_216'],[np.float64(42.5)]
FeS_5_90_0.01_J05-右/Al2O3_10_120_0.01_1_background_Pr.gk,"['AlN_216', 'SiBiTe3_148']","[np.float64(93.5), np.float64(58.0)]"
FeS_5_90_0.01_J05-右/C034_FeZrT5_2_10_90_0.01_Pr_1.gk,['SiBiTe3_148'],[np.float64(62.0)]
FeS_5_90_0.01_J05-右/C63_FeMoTe_2_5_90_0.01_GK.gk,['SiBiTe3_148'],[np.float64(74.0)]
FeS_5_90_0.01_J05-右/CrZrSe_5_90_0.01_GK.gk,['CrSiTe3_148'],[np.float64(66.5)]
FeS_5_90_0.01_J05-右/CrZrTe5_sample_1_NS_XRD_holder(Pr)_10-80.gk,['SiBiTe3_148'],[np.float64(45.0)]
FeS_5_90_0.01_J05-右/FeS_5_90_0.01_J05-右.gk,['SiBiTe3_148'],[np.float64(46.5)]
FeS_5_90_0.01_J05-右/FeTe2_5_90_0.01_GK.gk,['CrSiTe3_148'],[np.float64(51.5)]
