Filename,Predicted phases,Confidence
AlN/DS20251029/DC1.jip,未识别,
AlN/DS20251029/DC1.txt,AlN_216,67.5
AlN/DS20251029/DC2.jip,未识别,
AlN/DS20251029/DC2.txt,AlN_216,69.0
AlN/DS20251029/RF1.jip,未识别,
AlN/DS20251029/RF1.txt,AlN_216,67.0
AlN/DS20251029/RF2.jip,未识别,
AlN/DS20251029/RF2.txt,AlN_216,65.0
AlN/DS20251031/DC1.txt,AlN_216,68.0
AlN/DS20251031/DC2.txt,AlN_216,68.5
AlN/DS20251031/RF1.txt,AlN_216,63.5
AlN/DS20251031/RF2.txt,AlN_216,68.5
AlN/DS20251110/1.txt,AlN_216,92.5
AlN/DS20251110/10.txt,AlN_216,68.0
AlN/DS20251110/2.txt,AlN_216,95.5
AlN/DS20251110/3.txt,AlN_216,95.5
AlN/DS20251110/4.txt,AlN_216,95.5
AlN/DS20251110/6.txt,AlN_216,69.0
AlN/DS20251110/7.txt,AlN_216,61.0
AlN/DS20251110/8.txt,AlN_216,74.0
AlN/DS20251110/9.txt,AlN_216,67.0
AlN/DS20251117/DC1.txt,AlN_216,65.0
AlN/DS20251117/DC2.txt,AlN_216,66.0
AlN/DS20251117/DC3.txt,AlN_216,64.0
AlN/DS20251117/DC4.txt,AlN_216,68.5
AlN/DS20251117/DC5.txt,AlN_216,70.5
AlN/DS20251117/RF1.txt,AlN_216,68.0
AlN/DS20251117/RF2.txt,AlN_216,64.0
AlN/DS20251117/RF3.txt,AlN_216,62.0
AlN/DS20251117/RF4.txt,AlN_216,62.5
AlN/DS20251117/RF5.txt,AlN_216,62.5
AlN/XRD图.png,未识别,
CrSiTe体系的xrd数据/AgCr2Te4-J113-2.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-1.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-2.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-3.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-4.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-5.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-6.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-7.txt,未识别,
CrSiTe体系的xrd数据/BiSiTe3-8.txt,未识别,
CrSiTe体系的xrd数据/Cr5Te8-powder.txt,未识别,
CrSiTe体系的xrd数据/CrAlTe-1.txt,未识别,
CrSiTe体系的xrd数据/CrAlTe-2.txt,未识别,
CrSiTe体系的xrd数据/CrAlTe-3.txt,AlN_216,53.5
CrSiTe体系的xrd数据/CrSiTe3  PURE FZ40.txt,未识别,
CrSiTe体系的xrd数据/CrSiTe3 B027.txt,未识别,
CrSiTe体系的xrd数据/CrSiTe3 B028.txt,未识别,
CrSiTe体系的xrd数据/CrSiTe3 pure B025-2.txt,未识别,
